"Plugin","Gutenberg-Compatible","Compatibility Reason","Active Installs"
"ultimate-form-builder-lite","testing","","40000"
"accesspress-social-counter","likely_yes","Existing functionality works in Gutenberg","40000"
"raw-html","testing","","40000"
"media-library-assistant","likely_yes","Doesn't include editor functionality","40000"
"booking","yes","Existing functionality works in Gutenberg","40000"
"ssh-sftp-updater-support","yes","Doesn't include editor functionality","40000"
"livemesh-siteorigin-widgets","testing","","40000"
"syntaxhighlighter","testing","","40000"
"strong-testimonials","testing","","40000"
"kiwi-logo-carousel","no","","40000"
"event-organiser","testing","","40000"
"leaflet-maps-marker","unknown","","30000"
"check-email","likely_yes","Doesn't include editor functionality","30000"
"like-box","unknown","","30000"
"visitors-traffic-real-time-statistics","likely_yes","Doesn't include editor functionality","30000"
"multi-device-switcher","unknown","","30000"
"wp-subscribe","unknown","","30000"
"post-type-archive-links","unknown","","30000"
"go-live-update-urls","unknown","","30000"
"wp-external-links","unknown","","30000"
"html-sitemap","unknown","","30000"
"google-maps-easy","unknown","","30000"
"verify-google-webmaster-tools","unknown","","30000"
"menu-social-icons","unknown","","30000"
"contact-form-7-success-page-redirects","unknown","","30000"
"invisible-recaptcha","likely_yes","Doesn't include editor functionality","30000"
"wassup","likely_yes","Doesn't include editor functionality","30000"
"soundcloud-shortcode","unknown","","30000"
"facebook-pixel","unknown","","30000"
"contact-form-7-add-confirm","unknown","","30000"
"easy-pricing-tables","unknown","","30000"
"site-is-offline-plugin","likely_yes","Doesn't include editor functionality","30000"
"contact-form-to-email","likely_yes","Doesn't include editor functionality","30000"
"content-aware-sidebars","unknown","","30000"
"wp-seo-qtranslate-x","unknown","","30000"
"cookies-for-comments","unknown","","30000"
"wp-reset","likely_yes","Doesn't include editor functionality","30000"
"ajax-load-more","unknown","","30000"
"root-relative-urls","unknown","","30000"
"remove-dashboard-access-for-non-admins","unknown","","30000"
"ad-injection","unknown","","30000"
"wpml-widgets","unknown","","30000"
"storefront-product-pagination","unknown","","30000"
"public-post-preview","unknown","","30000"
"easy-video-player","unknown","","30000"
"homepage-control","unknown","","30000"
"protect-wp-admin","likely_yes","Doesn't include editor functionality","30000"
"slide-anything","unknown","","30000"
"open-external-links-in-a-new-window","unknown","","30000"
"simple-wp-sitemap","unknown","","30000"
"erident-custom-login-and-dashboard","likely_yes","Doesn't include editor functionality","30000"
"post-tags-and-categories-for-pages","unknown","","30000"
"if-menu","unknown","","30000"
"taxonomy-metadata","unknown","","30000"
"crazy-bone","likely_yes","Doesn't include editor functionality","30000"
"genesis-title-toggle","unknown","","30000"
"pinterest-pin-it-button-on-image-hover-and-post","unknown","","30000"
"contact-form-submissions","unknown","","30000"
"hueman-addons","unknown","","30000"
"paypal-for-woocommerce","unknown","","30000"
"robo-gallery","unknown","","30000"
"custom-post-widget","unknown","","30000"
"twitter-widget-pro","unknown","","30000"
"search-meter","unknown","","30000"
"debug-bar","likely_yes","Doesn't include editor functionality","30000"
"magee-shortcodes","unknown","","30000"
"woocommerce-germanized","unknown","","30000"
"video-embed-thumbnail-generator","unknown","","30000"
"fv-wordpress-flowplayer","unknown","","30000"
"nivo-slider-lite","unknown","","30000"
"affilinet-performance-module","unknown","","30000"
"leadin","unknown","","30000"
"js-composer-qtranslate-x","unknown","","30000"
"wufoo-shortcode","unknown","","30000"
"smtp-mailer","likely_yes","Doesn't include editor functionality","30000"
"templatesnext-toolkit","unknown","","30000"
"projects-by-woothemes","unknown","","30000"
"amazon-s3-and-cloudfront","unknown","","30000"
"duplicate-menu","unknown","","30000"
"db-cache-reloaded-fix","likely_yes","Doesn't include editor functionality","30000"
"genesis-simple-share","unknown","","30000"
"related-posts-thumbnails","unknown","","30000"
"head-cleaner","unknown","","30000"
"spiderblocker","unknown","","30000"
"headspace2","likely_yes","Doesn't include editor functionality","30000"
"wp-fail2ban","likely_yes","Doesn't include editor functionality","30000"
"learnpress","unknown","","30000"
"mollie-payments-for-woocommerce","unknown","","30000"
"google-authenticator","likely_yes","Doesn't include editor functionality","30000"
"meks-smart-social-widget","unknown","","30000"
"tiled-gallery-carousel-without-jetpack","unknown","","30000"
"saphali-woocommerce-lite","unknown","","30000"
"customify","unknown","","30000"
"sem-external-links","unknown","","30000"
"acurax-social-media-widget","unknown","","30000"
"my-calendar","unknown","","30000"
"wp-pagenavi-style","unknown","","30000"
"google-maps-builder","unknown","","30000"
"any-mobile-theme-switcher","unknown","","30000"
"wp125","unknown","","30000"
"wp-photo-album-plus","unknown","","30000"
"product-import-export-for-woo","unknown","","30000"
"addon-so-widgets-bundle","unknown","","30000"
"font-awesome","unknown","","30000"
"wp-parsidate","unknown","","30000"
"font","unknown","","30000"
"one-page-express-companion","unknown","","30000"
"drafts-scheduler","unknown","","30000"
"easy-watermark","unknown","","30000"
"hide-featured-image","unknown","","30000"
"facebook-page-feed-graph-api","unknown","","30000"
"advanced-image-styles","unknown","","30000"
"jquery-smooth-scroll","unknown","","30000"
"clone-posts","unknown","","30000"
"oa-social-login","likely_yes","Doesn't include editor functionality","30000"
"coming-soon-page","likely_yes","Doesn't include editor functionality","30000"
"woocommerce-colors","unknown","","30000"
"wp-google-analytics","likely_yes","Doesn't include editor functionality","30000"
"post-snippets","unknown","","30000"
"cherry-sidebars","unknown","","30000"
"s2member","unknown","","30000"
"theme-test-drive","unknown","","30000"
"statify","likely_yes","Doesn't include editor functionality","30000"
"gzip-ninja-speed-compression","unknown","","30000"
"media-file-renamer","unknown","","30000"
"rss-includes-pages","unknown","","30000"
"my-custom-functions","unknown","","30000"
"final-tiles-grid-gallery-lite","unknown","","30000"
"flash-album-gallery","unknown","","30000"
"hubspot-tracking-code","unknown","","30000"
"woocommerce-xml-csv-product-import","unknown","","30000"
"simple-membership","unknown","","30000"
"social-icons","unknown","","30000"
"rich-text-tags","unknown","","30000"
"email-encoder-bundle","unknown","","30000"
"custom-share-buttons-with-floating-sidebar","unknown","","30000"
"hide-admin-bar","unknown","","30000"
"wp-realtime-sitemap","unknown","","30000"
"schema","unknown","","30000"
"acf-qtranslate","unknown","","30000"
"elementor-templater","unknown","","30000"
"calculated-fields-form","unknown","","30000"
"feedburner-plugin","unknown","","30000"
"visualizer","unknown","","30000"
"a2-optimized-wp","likely_yes","Doesn't include editor functionality","30000"
"easy-modal","unknown","","30000"
"meks-flexible-shortcodes","unknown","","30000"
"jquery-pin-it-button-for-images","unknown","","30000"
"wp-e-commerce","unknown","","30000"
"insert-html-snippet","unknown","","30000"
"shapely-companion","unknown","","30000"
"slideshow-gallery","unknown","","30000"
"wpdiscuz","unknown","","30000"
"fv-top-level-cats","unknown","","30000"
"facebook-button-plugin","unknown","","30000"
"kiwi-social-share","unknown","","30000"
"async-javascript","unknown","","30000"
"fast-velocity-minify","unknown","","30000"
"popup-by-supsystic","unknown","","30000"
"jquery-lightbox-for-native-galleries","unknown","","30000"
"wp-page-numbers","unknown","","30000"
"wp-print","unknown","","30000"
"hide-my-site","unknown","","30000"
"styles","unknown","","30000"
"iq-block-country","unknown","","30000"
"yandex-metrika","likely_yes","Doesn't include editor functionality","30000"
"custom-twitter-feeds","unknown","","30000"
"wp-super-cache-clear-cache-menu","likely_yes","Doesn't include editor functionality","30000"
"enhanced-e-commerce-for-woocommerce-store","likely_yes","Doesn't include editor functionality","30000"
"ip-geo-block","likely_yes","Doesn't include editor functionality","30000"
"event-calendar-wd","unknown","","30000"
"wp-insert","unknown","","30000"
"hupso-share-buttons-for-twitter-facebook-google","unknown","","30000"
"admin-menu-tree-page-view","unknown","","30000"
"wunderground","unknown","","30000"
"google-xml-sitemaps-v3-for-qtranslate","likely_yes","Doesn't include editor functionality","30000"
"gmap-embed","unknown","","30000"
"pixcodes","unknown","","30000"
"wc-gallery","unknown","","30000"
"flexible-posts-widget","unknown","","30000"
"wp-mail-logging","unknown","","30000"
"wp-useronline","unknown","","30000"
"google-image-sitemap","likely_yes","Doesn't include editor functionality","30000"
"youtube-widget-responsive","unknown","","30000"
"orbisius-child-theme-creator","unknown","","30000"
"post-smtp","likely_yes","Doesn't include editor functionality","30000"
"rocket-maintenance-mode","likely_yes","Doesn't include editor functionality","30000"
"addons-for-visual-composer","unknown","","30000"
"squirrly-seo","likely_yes","Doesn't include editor functionality","30000"
"fonts","unknown","","30000"
"typekit-fonts-for-wordpress","unknown","","30000"
"features-by-woothemes","unknown","","30000"
"spider-event-calendar","unknown","","30000"
"update-control","unknown","","30000"
"taxonomy-images","unknown","","30000"
"wp-maintenance","likely_yes","Doesn't include editor functionality","30000"
"facebook-thumb-fixer","unknown","","30000"
"breadcrumbs","unknown","","30000"
"rotatingtweets","unknown","","30000"
"meks-smart-author-widget","unknown","","30000"
"team-members","unknown","","30000"
"woocommerce-currency-switcher","unknown","","30000"
"meks-easy-ads-widget","unknown","","30000"
"advanced-sidebar-menu","unknown","","30000"
"featured-video-plus","unknown","","30000"
"reset-wp","likely_yes","Doesn't include editor functionality","30000"
"shortcoder","unknown","","30000"
"www-xml-sitemap-generator-org","likely_yes","Doesn't include editor functionality","30000"
"mystickymenu","unknown","","30000"
"woocommerce-correios","unknown","","30000"
"bwp-recaptcha","likely_yes","Doesn't include editor functionality","30000"
"mesmerize-companion","unknown","","30000"
"co-authors-plus","yes","Existing functionality works in Gutenberg","30000"
"kraken-image-optimizer","unknown","","20000"
"wp-meta-seo","unknown","","20000"
"wp-math-captcha","likely_yes","Doesn't include editor functionality","20000"
"remove-footer-credit","unknown","","20000"
"jquery-t-countdown-widget","unknown","","20000"
"mp3-jplayer","unknown","","20000"
"user-photo","unknown","","20000"
"add-logo-to-admin","likely_yes","Doesn't include editor functionality","20000"
"wp-recaptcha-integration","likely_yes","Doesn't include editor functionality","20000"
"google-pagespeed-insights","unknown","","20000"
"woocommerce-extra-checkout-fields-for-brazil","unknown","","20000"
"yith-woocommerce-catalog-mode","unknown","","20000"
"addons-for-elementor","unknown","","20000"
"woocommerce-products-per-page","unknown","","20000"
"tinymce-templates","unknown","","20000"
"gmail-smtp","likely_yes","Doesn't include editor functionality","20000"
"rss-post-importer","unknown","","20000"
"wp-less","unknown","","20000"
"illdy-companion","unknown","","20000"
"shortcode-widget","unknown","","20000"
"timber-library","unknown","","20000"
"hide-admin-bar-from-non-admins","unknown","","20000"
"html-editor-syntax-highlighter","unknown","","20000"
"user-submitted-posts","unknown","","20000"
"advanced-database-cleaner","likely_yes","Doesn't include editor functionality","20000"
"tidio-live-chat","likely_yes","Doesn't include editor functionality","20000"
"above-the-fold-optimization","unknown","","20000"
"disable-feeds","unknown","","20000"
"youtube-embed","unknown","","20000"
"metronet-profile-picture","unknown","","20000"
"shortcode-ui","unknown","","20000"
"wp-seo-structured-data-schema","unknown","","20000"
"attachments","unknown","","20000"
"wp-better-emails","unknown","","20000"
"import-users-from-csv-with-meta","likely_yes","Doesn't include editor functionality","20000"
"simple-twitter-tweets","unknown","","20000"
"genesis-connect-woocommerce","unknown","","20000"
"contact-form-add","unknown","","20000"
"flexi-pages-widget","unknown","","20000"
"login-security-solution","likely_yes","Doesn't include editor functionality","20000"
"yith-essential-kit-for-woocommerce-1","unknown","","20000"
"mailmunch","unknown","","20000"
"login-recaptcha","likely_yes","Doesn't include editor functionality","20000"
"yop-poll","unknown","","20000"
"insert-php-code-snippet","unknown","","20000"
"crelly-slider","unknown","","20000"
"mega-addons-for-visual-composer","unknown","","20000"
"variation-swatches-for-woocommerce","unknown","","20000"
"all-in-one-webmaster","likely_yes","Doesn't include editor functionality","20000"
"hide-youtube-related-videos","unknown","","20000"
"business-directory-plugin","unknown","","20000"
"woocommerce-direct-checkout","unknown","","20000"
"flash-toolkit","unknown","","20000"
"grand-media","unknown","","20000"
"link-library","unknown","","20000"
"wp-seo-html-sitemap","unknown","","20000"
"rating-widget","unknown","","20000"
"sns-count-cache","likely_yes","Doesn't include editor functionality","20000"
"tumblr-importer","unknown","","20000"
"ultimate-tag-cloud-widget","unknown","","20000"
"fruitful-shortcodes","unknown","","20000"
"wowslider","unknown","","20000"
"baidu-sitemap-generator","likely_yes","Doesn't include editor functionality","20000"
"miniorange-login-openid","likely_yes","Doesn't include editor functionality","20000"
"llorix-one-companion","unknown","","20000"
"pagerestrict","unknown","","20000"
"admin-post-navigation","unknown","","20000"
"gravity-forms-pdf-extended","unknown","","20000"
"delete-all-comments-easily","unknown","","20000"
"uji-countdown","unknown","","20000"
"nav-menu-images","unknown","","20000"
"social-polls-by-opinionstage","unknown","","20000"
"clickfunnels","unknown","","20000"
"wp-mobile-detect","unknown","","20000"
"elementor-addon-widgets","unknown","","20000"
"buddypress-media","unknown","","20000"
"simple-author-box","unknown","","20000"
"genesis-favicon-uploader","unknown","","20000"
"landing-pages","unknown","","20000"
"nextcellent-gallery-nextgen-legacy","unknown","","20000"
"simply-exclude","unknown","","20000"
"wc-vendors","unknown","","20000"
"shariff","unknown","","20000"
"meks-simple-flickr-widget","unknown","","20000"
"bruteprotect","unknown","","20000"
"document-gallery","unknown","","20000"
"easy-pie-maintenance-mode","likely_yes","Doesn't include editor functionality","20000"
"dirtysuds-embed-pdf","unknown","","20000"
"groups","unknown","","20000"
"head-footer-code","unknown","","20000"
"eig-sso","unknown","","20000"
"intelly-related-posts","unknown","","20000"
"ozh-admin-drop-down-menu","unknown","","20000"
"latest-tweets-widget","unknown","","20000"
"woocommerce-all-in-one-seo-pack","unknown","","20000"
"adsense-manager","unknown","","20000"
"wordpress-easy-paypal-payment-or-donation-accept-plugin","unknown","","20000"
"aqua-page-builder","unknown","","20000"
"shortcode-in-menus","unknown","","20000"
"baw-post-views-count","unknown","","20000"
"posts-to-posts","unknown","","20000"
"ninjafirewall","unknown","","20000"
"smooth-slider","unknown","","20000"
"acf-image-crop-add-on","unknown","","20000"
"remove-google-fonts-references","unknown","","20000"
"easy-adsense-lite","unknown","","20000"
"brute-force-login-protection","likely_yes","Doesn't include editor functionality","20000"
"scalable-vector-graphics-svg","unknown","","20000"
"meta-manager","unknown","","20000"
"lightning-advanced-unit","unknown","","20000"
"gravity-forms-custom-post-types","unknown","","20000"
"meks-themeforest-smart-widget","unknown","","20000"
"wp-logo-showcase-responsive-slider-slider","unknown","","20000"
"social-share-buttons-by-supsystic","unknown","","20000"
"pinterest-pin-it-button","unknown","","20000"
"custom-favicon","unknown","","20000"
"quotes-collection","unknown","","20000"
"smartcrawl-seo","unknown","","20000"
"blogvault-real-time-backup","likely_yes","Doesn't include editor functionality","20000"
"wp-twitter-feeds","unknown","","20000"
"fullwidth-templates","unknown","","20000"
"udinra-all-image-sitemap","likely_yes","Doesn't include editor functionality","20000"
"wp-ban","unknown","","20000"
"yandex-metrica","unknown","","20000"
"simple-login-log","likely_yes","Doesn't include editor functionality","20000"
"gravity-forms-no-captcha-recaptcha","likely_yes","Doesn't include editor functionality","20000"
"quiz-master-next","unknown","","20000"
"better-analytics","likely_yes","Doesn't include editor functionality","20000"
"far-future-expiry-header","likely_yes","Doesn't include editor functionality","20000"
"sqlite-integration","likely_yes","Doesn't include editor functionality","20000"
"no-right-click-images-plugin","unknown","","20000"
"weglot","unknown","","20000"
"email-before-download","unknown","","20000"
"sp-news-and-widget","unknown","","20000"
"remove-yoast-seo-comments","unknown","","20000"
"amazonjs","unknown","","20000"
"codepeople-post-map","unknown","","20000"
"mainwp-child-reports","unknown","","20000"
"responsive-select-menu","unknown","","20000"
"wp-share-buttons-analytics-by-getsocial","unknown","","20000"
"lightweight-grid-columns","unknown","","20000"
"qtranslate-slug","unknown","","20000"
"loginpress","likely_yes","Doesn't include editor functionality","20000"
"accesspress-instagram-feed","unknown","","20000"
"xml-sitemaps","likely_yes","Doesn't include editor functionality","20000"
"custom-taxonomy-order-ne","unknown","","20000"
"wp-disable","unknown","","20000"
"404-to-homepage-littlebizzy","unknown","","20000"
"wp-native-dashboard","unknown","","20000"
"whatshelp-chat-button","unknown","","20000"
"better-click-to-tweet","unknown","","20000"
"remove-widget-titles","unknown","","20000"
"google-tag-manager","likely_yes","Doesn't include editor functionality","20000"
"wp-copyright-protection","unknown","","20000"
"header-and-footer-scripts-inserter","unknown","","20000"
"simple-embed-code","unknown","","20000"
"username-changer","likely_yes","Doesn't include editor functionality","20000"
"wp-remove-category-base","unknown","","20000"
"minify-html-markup","unknown","","20000"
"simple-301-redirects-addon-bulk-uploader","unknown","","20000"
"cherry-testi","unknown","","20000"
"wordpress-access-control","unknown","","20000"
"commentluv","unknown","","20000"
"social-sharing-toolkit","unknown","","20000"
"simple-google-map","unknown","","20000"
"cherry-services-list","unknown","","20000"
"twitter-facebook-google-plusone-share","unknown","","20000"
"scripts-to-footerphp","unknown","","20000"
"addfunc-head-footer-code","unknown","","20000"
"welcome-email-editor","unknown","","20000"
"css-javascript-toolbox","unknown","","20000"
"flickr-badges-widget","unknown","","20000"
"tag-pages","unknown","","20000"
"easy-image-gallery","unknown","","20000"
"nofollow-for-external-link","unknown","","20000"
"catch-ids","unknown","","20000"
"gantry","unknown","","20000"
"export-users-to-csv","unknown","","20000"
"cbnet-ping-optimizer","unknown","","20000"
"google-universal-analytics","likely_yes","Doesn't include editor functionality","20000"
"woocommerce-bulk-discount","unknown","","20000"
"optin-forms","unknown","","20000"
"cpt-bootstrap-carousel","unknown","","20000"
"extended-categories-widget","unknown","","20000"
"accesspress-social-login-lite","likely_yes","Doesn't include editor functionality","20000"
"save-contact-form-7","unknown","","20000"
"fully-background-manager","unknown","","20000"
"fb-messenger-live-chat","unknown","","20000"
"default-featured-image","unknown","","20000"
"only-tweet-like-share-and-google-1","unknown","","20000"
"crop-thumbnails","unknown","","20000"
"restrict-widgets","unknown","","20000"
"cryout-serious-slider","unknown","","20000"
"motopress-content-editor-lite","unknown","","20000"
"bulk-page-creator","unknown","","20000"
"wpmandrill","unknown","","20000"
"manual-image-crop","unknown","","20000"
"insert-post-ads","unknown","","20000"
"contact-bank","unknown","","20000"
"data-tables-generator-by-supsystic","unknown","","20000"
"related-posts-for-wp","unknown","","20000"
"wp-media-library-categories","unknown","","20000"
"wp-hide-security-enhancer","unknown","","20000"
"cardoza-facebook-like-box","unknown","","20000"
"accordions","unknown","","20000"
"pricing-table-by-supsystic","unknown","","20000"
"contact-form-by-supsystic","unknown","","20000"
"header-footer-elementor","unknown","","20000"
"upload-max-file-size","unknown","","20000"
"hc-custom-wp-admin-url","likely_yes","Doesn't include editor functionality","20000"
"rus-to-lat-advanced","unknown","","20000"
"check-and-enable-gzip-compression","likely_yes","Doesn't include editor functionality","20000"
"newsletter-sign-up","unknown","","20000"
"stream","unknown","","20000"
"fourteen-colors","unknown","","20000"
"custom-meta-widget","unknown","","20000"
"newpost-catch","unknown","","20000"
"wp-flexible-map","unknown","","20000"
"genesis-translations","unknown","","20000"
"string-locator","unknown","","20000"
"wk-google-analytics","likely_yes","Doesn't include editor functionality","20000"
"calendar","unknown","","20000"
"wordpress-php-info","unknown","","20000"
"quick-featured-images","unknown","","20000"
"addon-elements-for-elementor-page-builder","unknown","","20000"
"metronet-reorder-posts","unknown","","20000"
"pagemash","unknown","","20000"
"woocommerce-advanced-free-shipping","unknown","","20000"
"server-ip-memory-usage","unknown","","20000"
"ad-widget","unknown","","20000"
"captainform","unknown","","20000"
"contact-form-7-skins","unknown","","20000"
"dk-pricr-responsive-pricing-table","unknown","","20000"
"woo-order-export-lite","unknown","","20000"
"carousel-slider","unknown","","20000"
"woocommerce-product-archive-customiser","unknown","","20000"
"search-filter","unknown","","20000"
"vk-all-in-one-expansion-unit","likely_yes","Doesn't include editor functionality","20000"
"soundy-background-music","unknown","","20000"
"featured-image-from-url","unknown","","20000"
"wp-editor-widget","unknown","","20000"
"wpgform","unknown","","20000"
"bm-custom-login","likely_yes","Doesn't include editor functionality","20000"
"dropdown-menu-widget","unknown","","20000"
"gravity-forms-css-ready-selector","unknown","","20000"
"gallery-bank","unknown","","20000"
"wpfront-notification-bar","unknown","","20000"
"recent-facebook-posts","unknown","","20000"
"accordion-shortcodes","unknown","","20000"
"to-top","unknown","","20000"
"insert-pages","unknown","","20000"
"wp-site-migrate","unknown","","20000"
"footer-putter","unknown","","20000"
"subscribe-to-comments-reloaded","unknown","","20000"
"login-form-recaptcha","likely_yes","Doesn't include editor functionality","20000"
"wp-backitup","likely_yes","Doesn't include editor functionality","20000"
"genesis-columns-advanced","unknown","","20000"
"mobile-menu","unknown","","20000"
"wp-force-https","unknown","","20000"
"itro-popup","unknown","","20000"
"wp-htaccess-control","unknown","","20000"
"woocommerce-sequential-order-numbers","unknown","","20000"
"entry-views","unknown","","20000"
"media-element-html5-video-and-audio-player","unknown","","20000"
"export-user-data","unknown","","20000"
"unite-gallery-lite","unknown","","20000"
"per-page-add-to","unknown","","20000"
"whats-new-genarator","unknown","","20000"
"wp-file-upload","unknown","","20000"
"woocommerce-exporter","unknown","","20000"
"wf-cookie-consent","unknown","","20000"
"scripts-n-styles","unknown","","20000"
"tubepress","unknown","","20000"
"wp-pro-quiz","unknown","","20000"
"oh-add-script-header-footer","unknown","","20000"
"cpo-content-types","unknown","","20000"
"simple-google-analytics","likely_yes","Doesn't include editor functionality","20000"
"igniteup","likely_yes","Doesn't include editor functionality","20000"
"featured-images-for-rss-feeds","unknown","","20000"
"wd-google-maps","unknown","","20000"
"event-tickets","unknown","","20000"
"feedzy-rss-feeds","unknown","","20000"
"wp-memory-usage","unknown","","20000"
"the-events-calendar-shortcode","unknown","","20000"
"redis-cache","likely_yes","Doesn't include editor functionality","20000"
"jonradio-private-site","unknown","","20000"
"wp-social-sharing","unknown","","20000"
"csv-importer","unknown","","20000"
"carousel-without-jetpack","unknown","","20000"
"hide-plugin-updates-notifications","unknown","","20000"
"wp-subtitle","unknown","","20000"
"remove-xmlrpc-pingback-ping","unknown","","20000"
"wp-super-minify","unknown","","20000"
"xserver-typesquare-webfonts","unknown","","20000"
"video-sidebar-widgets","unknown","","20000"
"user-avatar","unknown","","20000"
"php-text-widget","unknown","","20000"
"clicky","likely_yes","Doesn't include editor functionality","20000"
"woocommerce-quantity-increment","unknown","","20000"
"pdf-viewer","unknown","","20000"
"ajax-search-lite","unknown","","20000"
"wp-visual-icon-fonts","unknown","","20000"
"search-exclude","unknown","","20000"
"wp-hyper-response","unknown","","20000"
"my-custom-css","likely_yes","Doesn't include editor functionality","20000"
"font-organizer","unknown","","20000"
"advanced-random-posts-widget","unknown","","20000"
"restricted-site-access","unknown","","20000"
"child-themify","unknown","","20000"
"instapage","unknown","","20000"
"wordpress-reset","likely_yes","Doesn't include editor functionality","20000"
"breadcrumb-trail","unknown","","20000"
"wp-job-manager-contact-listing","unknown","","20000"
"allow-php-in-posts-and-pages","unknown","","20000"
"woocommerce-social-media-share-buttons","unknown","","20000"
"simple-full-screen-background-image","unknown","","20000"
"otf-regenerate-thumbnails","unknown","","20000"
"shiftnav-responsive-mobile-menu","unknown","","20000"
"php-settings","unknown","","20000"
"ultimate-faqs","unknown","","20000"
"wd-google-analytics","likely_yes","Doesn't include editor functionality","20000"
"companion-auto-update","unknown","","20000"
"wp-cycle","unknown","","20000"
"pojo-sidebars","unknown","","20000"
"wp-translitera","unknown","","20000"
"activecampaign-subscription-forms","unknown","","20000"
"blog-designer","unknown","","20000"
"simple-follow-me-social-buttons-widget","unknown","","20000"
"formget-contact-form","unknown","","20000"
"easy-custom-sidebars","unknown","","20000"
"fancy-box","unknown","","20000"
"woocommerce-mailchimp","unknown","","20000"
"wck-custom-fields-and-custom-post-types-creator","unknown","","20000"
"table-maker","unknown","","20000"
"easy-pie-coming-soon","likely_yes","Doesn't include editor functionality","20000"
"favicon-xt-manager","unknown","","20000"
"custom-user-profile-photo","unknown","","20000"
"mailin","likely_yes","Doesn't include editor functionality","20000"
"wp-job-manager-locations","unknown","","20000"
"twitter-tweets","unknown","","20000"
"opml-importer","unknown","","20000"
"responsive-lightbox-lite","unknown","","20000"
"cachify","likely_yes","Doesn't include editor functionality","20000"
"social-media-icons-widget","unknown","","20000"
"new-user-approve","likely_yes","Doesn't include editor functionality","20000"
"restaurant-reservations","unknown","","20000"
"zero-spam","unknown","","20000"
"wp-custom-widget-area","unknown","","20000"
"horizontal-scrolling-announcement","unknown","","20000"
"delete-pending-comments","unknown","","20000"
"easy-coming-soon","unknown","","20000"
"postie","unknown","","20000"
"stop-user-enumeration","yes","Doesn't include editor functionality","20000"
"ecwid-shopping-cart","yes","Existing functionality works in Gutenberg","20000"
"edit-flow","no","JavaScript error prevents use, Some editor UI is missing","10000"
"clean-image-filenames","yes","Existing functionality works in Gutenberg","10000"
"woocommerce-pdf-invoices","yes","Doesn't include editor functionality","10000"
"seriously-simple-podcasting","yes","Doesn't include editor functionality","10000"
"simple-job-board","likely_yes","Some editor UI is missing","10000"
"sticky-side-buttons","yes","Doesn't include editor functionality","10000"
"wpglobus","unknown","","10000"
"jonradio-multiple-themes","unknown","","10000"
"cherry-team-members","unknown","","10000"
"imagemagick-engine","unknown","","10000"
"bootstrap-shortcodes","unknown","","10000"
"learnpress-course-review","unknown","","10000"
"wordpress-bootstrap-css","unknown","","10000"
"bp-profile-search","unknown","","10000"
"legal-pages","unknown","","10000"
"list-pages-shortcode","unknown","","10000"
"google-privacy-policy","unknown","","10000"
"contact-form-advanced-database","unknown","","10000"
"wp-encrypt","unknown","","10000"
"smart-slider-2","unknown","","10000"
"cf7-widget-elementor","unknown","","10000"
"player","unknown","","10000"
"wpforo","unknown","","10000"
"wordpress-mobile-pack","unknown","","10000"
"magic-action-box","unknown","","10000"
"mp-timetable","unknown","","10000"
"wc-fields-factory","unknown","","10000"
"posts-in-sidebar","unknown","","10000"
"faster-pagination","unknown","","10000"
"nospamnx","unknown","","10000"
"simple-tooltips","unknown","","10000"
"ts-webfonts-for-sakura","unknown","","10000"
"geoip-detect","likely_yes","Doesn't include editor functionality","10000"
"genesis-layout-extras","unknown","","10000"
"wp-ultimate-recipe","unknown","","10000"
"host-analyticsjs-local","likely_yes","Doesn't include editor functionality","10000"
"wp-no-base-permalink","unknown","","10000"
"qqworld-auto-save-images","unknown","","10000"
"admin-bar-disabler","unknown","","10000"
"accesspress-facebook-auto-post","unknown","","10000"
"google-website-translator","unknown","","10000"
"rewrite-rules-inspector","unknown","","10000"
"smart-forms","unknown","","10000"
"new-adman","unknown","","10000"
"easy-social-share-buttons","unknown","","10000"
"comments-ratings","unknown","","10000"
"wp101","unknown","","10000"
"simple-fields","unknown","","10000"
"wp-ui","unknown","","10000"
"wp-help","unknown","","10000"
"woocommerce-autocomplete-order","unknown","","10000"
"delightful-downloads","unknown","","10000"
"downml","likely_yes","Doesn't include editor functionality","10000"
"better-amp","unknown","","10000"
"connections","unknown","","10000"
"pojo-importer","unknown","","10000"
"pz-linkcard","unknown","","10000"
"pojo-accessibility","unknown","","10000"
"anything-popup","unknown","","10000"
"my-wp-translate","unknown","","10000"
"resize-at-upload-plus","unknown","","10000"
"cdn-enabler","unknown","","10000"
"wordpress-post-tabs","unknown","","10000"
"wp-bannerize","unknown","","10000"
"convertkit","unknown","","10000"
"wp-time-capsule","likely_yes","Doesn't include editor functionality","10000"
"slideshow","unknown","","10000"
"jch-optimize","unknown","","10000"
"ari-adminer","likely_yes","Doesn't include editor functionality","10000"
"advanced-recent-posts-widget","unknown","","10000"
"add-admin-css","unknown","","10000"
"anywhere-elementor","unknown","","10000"
"feature-a-page-widget","unknown","","10000"
"fancier-author-box","unknown","","10000"
"wp-maximum-execution-time-exceeded","unknown","","10000"
"clicky-analytics","likely_yes","Doesn't include editor functionality","10000"
"acme-demo-setup","unknown","","10000"
"toggle-wpautop","unknown","","10000"
"another-wordpress-classifieds-plugin","unknown","","10000"
"wpupper-share-buttons","unknown","","10000"
"pojo-news-ticker","unknown","","10000"
"all-meta-tags","unknown","","10000"
"ws-google-webmaster-tools","likely_yes","Doesn't include editor functionality","10000"
